from_course_id,to_course_id,type,confidence,raw_text
FA25-MATH-2940-1,FA25-MATH-4410-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2210-1,FA25-MATH-4520-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2230-1,FA25-MATH-4520-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2310-1,FA25-MATH-4520-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2940-1,FA25-MATH-4520-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2210-1,FA25-MATH-4530-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2230-1,FA25-MATH-4530-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2310-1,FA25-MATH-4530-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2940-1,FA25-MATH-4530-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-1110-1,FA25-MATH-4710-1,or_group,0.6000000000000001,"MATH 1110-MATH 1120, or equivalent."
FA25-MATH-1120-1,FA25-MATH-4710-1,or_group,0.6000000000000001,"MATH 1110-MATH 1120, or equivalent."
FA25-MATH-2210-1,FA25-MATH-5220-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2230-1,FA25-MATH-5220-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2310-1,FA25-MATH-5220-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2940-1,FA25-MATH-5220-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2220-1,FA25-MATH-5220-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-1920-1,FA25-MATH-5220-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2210-1,FA25-MATH-5250-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230-MATH 2240, MATH 2310, or MATH 2940 or equivalent, and one additional mathematics course numbered 3000 or above."
FA25-MATH-2230-1,FA25-MATH-5250-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230-MATH 2240, MATH 2310, or MATH 2940 or equivalent, and one additional mathematics course numbered 3000 or above."
FA25-MATH-2310-1,FA25-MATH-5250-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230-MATH 2240, MATH 2310, or MATH 2940 or equivalent, and one additional mathematics course numbered 3000 or above."
FA25-MATH-2940-1,FA25-MATH-5250-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230-MATH 2240, MATH 2310, or MATH 2940 or equivalent, and one additional mathematics course numbered 3000 or above."
